event_id,event_date,year,reports_count,ra_deg,dec_deg,azimuth,entry_angle,distance_km,start_lat,start_long,end_lat,end_long,start_alt_m,end_alt_m
54171,2021-03-14,2021,141,244.32,-39.22,196.4,8.02,277.66,38.109792141777,-74.292801442478,40.510185091458,-73.396222055377,80000.0,40865.983479657
54333,2021-03-20,2021,168,0.43,-9.02,222.35,21.75,95.75,49.606053076683,-2.343924790067,50.246368500472,-1.448304912984,80000.0,41800.520532831
54347,2021-03-21,2021,61,169.65,21.04,80.67,30.1,60.11,27.786058286993,-82.526228945957,27.699704930349,-83.1296016194,80000.0,45148.115979433
54355,2021-03-21,2021,97,20.42,17.02,280.64,15.06,92.02,35.159093903995,-118.22824420505,35.010327575802,-117.23280181283,80000.0,55240.177748129
54354,2021-03-21,2021,307,184.89,-14.99,159.94,31.91,68.0,40.097474122038,-77.399203255934,40.672632566708,-77.673602837262,80000.0,37646.744367913
54387,2021-03-21,2021,72,197.42,7.28,129.83,34.56,68.23,51.813639446911,2.820890897989,52.209388419818,2.058140255233,80000.0,33000.978752592
54401,2021-03-22,2021,26,163.17,11.88,110.11,29.88,78.9,51.25446467906,-0.10681040056,51.503470891433,-1.17211819817,80000.0,34667.235333712
54420,2021-03-23,2021,26,46.75,-2.51,251.21,20.88,97.97,34.72928041838,-113.67512742079,35.017474475372,-112.65960053727,80000.0,42630.043123952
62484,2022-01-07,2022,35,145.32,50.58,42.66,20.19,130.78,28.414227972928,-80.766761175168,27.551754245935,-81.673471461178,80000.0,31912.621407983
62529,2022-01-07,2022,37,118.06,19.58,110.54,38.74,57.97,52.747976419701,-1.32346677751,52.933712074369,-2.130499600666,80000.0,33485.354866306
62548,2022-01-08,2022,30,300.59,15.17,91.84,21.1,73.44,51.484214701676,8.130768666418,51.510188888741,7.069985732132,80000.0,51659.682512766
62612,2022-01-11,2022,29,91.75,53.53,315.86,31.51,62.28,42.631558363629,-90.663162434026,42.230589449918,-90.132644784236,80000.0,41824.257404554
62673,2022-01-13,2022,59,152.29,49.48,33.16,17.67,133.3,49.0,17.0,48.0,16.0,80000.0,37524.0
62706,2022-01-15,2022,52,39.23,-9.27,210.61,35.06,65.99,40.216246432364,-72.089981494277,40.727979938496,-71.693967532624,80000.0,33697.456310305
62842,2022-01-20,2022,419,317.49,47.51,48.19,26.23,86.46,43.584109287356,-90.364275052991,43.068202435479,-91.164945541719,80000.0,37392.144345243
62881,2022-01-21,2022,166,124.31,16.91,87.51,20.79,92.62,47.799870857915,5.558118838839,47.770260859306,4.318406531852,80000.0,44836.269274184
62992,2022-01-25,2022,25,110.29,10.41,92.73,17.43,133.39,45.128749940495,16.274560663896,45.198529216738,14.574945057489,80000.0,38122.909444983
63085,2022-01-29,2022,73,143.04,-38.68,162.31,17.77,105.43,29.689232475011,-98.335100263656,30.593526477866,-98.666997190347,80000.0,46217.434564453
63093,2022-01-29,2022,341,157.5,36.29,54.59,19.95,114.63,55.858709405113,-0.348157730833,55.270021608317,-1.846229146724,80000.0,38390.390987446
63165,2022-02-02,2022,26,75.42,8.87,202.01,54.22,40.97,42.537587677758,-80.099650151895,42.879515211812,-79.912146635689,80000.0,23152.048321887
63314,2022-02-08,2022,40,130.88,-0.25,169.57,38.71,44.87,50.112274814009,2.51159360579,50.509471099474,2.397653474878,80000.0,44032.095304107
63320,2022-02-09,2022,60,107.57,1.04,137.61,50.24,39.17,32.431990045991,-98.079430419412,32.692645930753,-98.361015506067,80000.0,32920.623535466
63351,2022-02-09,2022,51,211.89,73.46,7.2,20.22,80.58,36.298088191293,-80.179995991461,35.578714944708,-80.292728753233,80000.0,50317.531702595
63355,2022-02-11,2022,29,336.67,65.63,340.35,20.26,88.14,38.194471510596,-85.977380979156,37.447932639464,-85.638046921533,80000.0,47466.466153255
63432,2022-02-13,2022,44,327.61,16.69,73.06,6.31,404.02,42.079377066502,-99.107434149556,41.114545165731,-103.79557330743,80000.0,35334.48641169
63462,2022-02-15,2022,35,167.61,46.57,9.29,84.02,5.59,40.606017550747,-87.455460208763,40.556402054457,-87.466145410907,80000.0,26658.907821242
63461,2022-02-16,2022,47,121.58,41.61,75.94,73.34,16.41,39.549859865467,-80.278578362783,39.514148713371,-80.464313477586,80000.0,25177.005174541
63528,2022-02-19,2022,48,344.33,46.61,319.49,14.15,126.82,39.474810807711,-105.43434731454,38.611040269419,-104.47396934381,80000.0,48017.79198095
63642,2022-02-23,2022,34,216.06,66.95,26.67,35.85,53.86,48.562215114656,9.362024653881,48.129559012378,9.033229160205,80000.0,41080.28147174
63682,2022-02-25,2022,35,183.74,18.22,102.02,31.22,55.03,53.416435424285,-0.823210676783,53.522311385141,-1.635831474632,80000.0,46645.481920781
63733,2022-02-27,2022,29,38.33,45.09,269.23,69.17,17.19,49.671574006398,7.188652332773,49.673887717545,7.427699585651,80000.0,34820.354801526
63865,2022-03-05,2022,216,28.78,11.05,265.42,20.96,103.02,43.732046062855,12.043439663177,43.813162476258,13.322444345174,80000.0,40527.415300211
63908,2022-03-07,2022,46,150.54,20.19,276.92,21.22,82.13,48.019075863358,-122.55253038429,47.935226648992,-121.45554337091,80000.0,48116.764471382
63896,2022-03-07,2022,25,181.44,-2.68,135.11,26.74,81.94,50.476960938974,16.526988982556,51.002239283427,15.709330006926,80000.0,38717.35972891
63987,2022-03-11,2022,42,8.87,48.99,312.59,27.26,68.77,36.965615424011,-86.409649604859,36.548122302584,-85.839425856723,80000.0,44560.25125256
63998,2022-03-11,2022,31,131.33,-8.31,137.35,21.49,114.13,50.299912878764,0.383179414186,51.060466764043,-0.706176557921,80000.0,35074.282765619
64001,2022-03-11,2022,39,157.18,16.41,168.61,48.91,33.46,56.691752447054,11.382820062014,56.987007328078,11.274547588698,80000.0,41632.442368893
64012,2022-03-12,2022,39,353.95,32.33,50.99,9.36,197.91,48.90377537836,-92.248498323733,47.801753159989,-94.354000855419,80000.0,47382.400528022
64139,2022-03-15,2022,42,191.1,-1.84,123.51,28.48,103.52,42.128801196794,-77.171461917417,42.647876507835,-78.218842017556,80000.0,23828.738970904
64169,2022-03-15,2022,36,343.02,76.7,16.08,35.71,76.73,39.639682699178,-95.103892447709,38.976458008373,-95.352312072413,80000.0,24840.572756576
64171,2022-03-16,2022,36,183.65,1.49,94.86,7.68,189.6,41.109511744341,-97.817838792132,41.276227110885,-100.07445578899,80000.0,54423.069209506
64201,2022-03-17,2022,26,174.11,6.4,123.02,38.94,50.02,42.059592390043,-71.421798959129,42.306020281583,-71.930100211391,80000.0,39583.957318827
64222,2022-03-18,2022,54,61.18,49.56,323.17,22.73,84.94,52.083307038157,4.337550178022,51.473861587822,5.083265261386,80000.0,44409.432062434
64341,2022-03-22,2022,41,136.8,17.25,227.13,47.99,29.71,51.116244845877,-0.377174515597,51.298561403068,-0.064986373082,80000.0,47011.131418798
